Sector,Weight,Ticker
Zyklische Konsumgüter,0.1605844,EUNN
Cash und/oder Derivate,0.002045,IQQN
Energie,0.0344306,IQQN
Financials,0.1444703,IQQN
Gesundheitsversorgung,0.0932083,IQQN
IT,0.3245486,IQQN
Immobilien,0.0175822,IQQN
Industrie,0.0858902,IQQN
Kommunikation,0.1021575,IQQN
Materialien,0.0255517,IQQN
Nichtzyklische Konsumgüter,0.0455993,IQQN
Versorger,0.0214321,IQQN
Zyklische Konsumgüter,0.1030846,IQQN
Cash und/oder Derivate,0.0024326,IQQW
Energie,0.0333202,IQQW
Financials,0.17055,IQQW
Gesundheitsversorgung,0.0986838,IQQW
IT,0.2655605,IQQW
Immobilien,0.0177808,IQQW
Industrie,0.1132192,IQQW
Kommunikation,0.08712360000000001,IQQW
Materialien,0.0328601,IQQW
Nichtzyklische Konsumgüter,0.0515866,IQQW
Versorger,0.0254286,IQQW
Zyklische Konsumgüter,0.1014547,IQQW
Cash und/oder Derivate,0.0046891,EUNL
Energie,0.0333217,EUNL
Financials,0.1700465,EUNL
Gesundheitsversorgung,0.0984425,EUNL
IT,0.2648643,EUNL
Immobilien,0.0175674,EUNL
Industrie,0.11312,EUNL
Kommunikation,0.0871468,EUNL
Materialien,0.0329556,EUNL
Nichtzyklische Konsumgüter,0.0515745,EUNL
Versorger,0.0251415,EUNL
Zyklische Konsumgüter,0.1011323,EUNL
Cash und/oder Derivate,0.0030348,IBCH
Energie,0.033258,IBCH
Financials,0.17050289999999999,IBCH
Gesundheitsversorgung,0.09857099999999999,IBCH
IT,0.2654504,IBCH
Immobilien,0.0178094,IBCH
Industrie,0.1132225,IBCH
Kommunikation,0.0870854,IBCH
Materialien,0.0329168,IBCH
Nichtzyklische Konsumgüter,0.0516566,IBCH
Versorger,0.025391900000000002,IBCH
Zyklische Konsumgüter,0.1011002,IBCH
Cash und/oder Derivate,0.0007396,EXXT
Energie,0.005000299999999999,EXXT
Financials,0.0029896000000000002,EXXT
Gesundheitsversorgung,0.0548056,EXXT
IT,0.5256205,EXXT
Immobilien,0.0014158,EXXT
Industrie,0.0431358,EXXT
Kommunikation,0.1592156,EXXT
Materialien,0.0111778,EXXT
Nichtzyklische Konsumgüter,0.0461439,EXXT
Versorger,0.013634799999999999,EXXT
Zyklische Konsumgüter,0.1361206,EXXT
Cash und/oder Derivate,0.0019952999999999998,EXX7
Energie,0.0030889,EXX7
Financials,0.0326682,EXX7
Gesundheitsversorgung,0.0813798,EXX7
IT,0.28968889999999997,EXX7
Immobilien,0.0171339,EXX7
Industrie,0.1843456,EXX7
Kommunikation,0.1203895,EXX7
